sensor_id,city,zone_type,pm25,pm10,co2_ppm,temperature_c,humidity_pct,wind_speed_kmh,aqi_value,severity,recorded_at
PKS_MUL_TRF_01,Multan,traffic,95.83,115.4,634.39,35.99,57.03,18.31,171.82,UNHEALTHY,2026-07-13T10:16:53Z
PKS_MUL_PRK_02,Multan,park,18.06,28.05,470.07,29.13,90.0,12.32,63.53,MODERATE,2026-07-13T10:16:53Z
PKS_KHI_IND_01,Karachi,industrial,402.6,561.08,1358.08,45.0,44.56,20.15,422.12,HAZARDOUS,2026-07-13T10:17:04Z
PKS_KHI_TRF_02,Karachi,traffic,93.67,120.01,951.26,43.54,59.61,10.9,170.71,UNHEALTHY,2026-07-13T10:17:04Z
PKS_LHR_RES_01,Lahore,residential,59.58,77.33,569.41,44.81,79.31,12.38,153.11,UNHEALTHY,2026-07-13T10:17:04Z
PKS_LHR_IND_02,Lahore,industrial,101.16,145.24,994.09,45.0,57.52,12.6,174.58,UNHEALTHY,2026-07-13T10:17:04Z
PKS_ISB_PRK_01,Islamabad,park,67.71,87.04,579.17,45.0,84.63,14.09,157.3,UNHEALTHY,2026-07-13T10:17:04Z
PKS_ISB_TRF_02,Islamabad,traffic,283.06,435.27,1058.47,45.0,75.41,14.62,326.93,HAZARDOUS,2026-07-13T10:17:04Z
PKS_PEW_IND_01,Peshawar,industrial,123.62,156.84,878.6,37.94,50.95,7.52,186.17,UNHEALTHY,2026-07-13T10:17:04Z
PKS_PEW_RES_02,Peshawar,residential,42.1,54.35,682.2,33.92,89.28,18.86,117.25,UNHEALTHY,2026-07-13T10:17:04Z
PKS_MUL_TRF_01,Multan,traffic,86.09,131.39,908.5,42.0,40.21,9.92,166.79,UNHEALTHY,2026-07-13T10:17:04Z
PKS_MUL_PRK_02,Multan,park,25.59,38.71,531.08,45.0,90.0,4.36,79.37,MODERATE,2026-07-13T10:17:04Z
PKS_KHI_IND_01,Karachi,industrial,105.78,130.75,1129.22,40.39,48.51,12.79,176.96,UNHEALTHY,2026-07-13T10:17:15Z
PKS_KHI_TRF_02,Karachi,traffic,87.29,117.12,849.41,42.72,57.74,20.71,167.41,UNHEALTHY,2026-07-13T10:17:15Z
PKS_LHR_RES_01,Lahore,residential,60.22,74.98,645.97,31.63,40.21,13.8,153.44,UNHEALTHY,2026-07-13T10:17:15Z
PKS_LHR_IND_02,Lahore,industrial,117.15,172.63,875.3,45.0,56.2,8.4,182.83,UNHEALTHY,2026-07-13T10:17:15Z
PKS_ISB_PRK_01,Islamabad,park,21.14,32.32,475.48,32.29,90.0,15.15,70.01,MODERATE,2026-07-13T10:17:15Z
PKS_ISB_TRF_02,Islamabad,traffic,85.71,106.17,659.86,37.88,63.61,35.05,166.6,UNHEALTHY,2026-07-13T10:17:15Z
PKS_PEW_IND_01,Peshawar,industrial,125.92,192.88,1048.89,45.0,11.17,20.08,187.36,UNHEALTHY,2026-07-13T10:17:15Z
PKS_PEW_RES_02,Peshawar,residential,91.79,140.05,717.4,43.6,76.34,9.35,169.74,UNHEALTHY,2026-07-13T10:17:15Z
PKS_MUL_TRF_01,Multan,traffic,103.93,127.8,879.67,41.31,33.72,37.77,176.01,UNHEALTHY,2026-07-13T10:17:15Z
PKS_MUL_PRK_02,Multan,park,12.11,14.65,459.51,30.45,90.0,13.11,51.02,MODERATE,2026-07-13T10:17:15Z
PKS_KHI_IND_01,Karachi,industrial,144.38,212.5,863.86,43.02,50.52,9.95,196.89,UNHEALTHY,2026-07-13T10:17:26Z
PKS_KHI_TRF_02,Karachi,traffic,267.92,329.81,911.95,45.0,36.74,32.66,314.87,HAZARDOUS,2026-07-13T10:17:26Z
PKS_LHR_RES_01,Lahore,residential,63.29,94.0,541.77,35.95,89.4,6.14,155.02,UNHEALTHY,2026-07-13T10:17:26Z
PKS_LHR_IND_02,Lahore,industrial,147.89,185.22,822.13,45.0,33.9,25.87,198.7,UNHEALTHY,2026-07-13T10:17:26Z
PKS_ISB_PRK_01,Islamabad,park,43.38,58.4,793.78,40.81,71.62,14.05,120.4,UNHEALTHY,2026-07-13T10:17:26Z
PKS_ISB_TRF_02,Islamabad,traffic,364.05,482.74,1112.55,40.06,32.62,36.99,391.42,HAZARDOUS,2026-07-13T10:17:26Z
PKS_PEW_IND_01,Peshawar,industrial,137.5,192.14,748.52,45.0,17.21,25.28,193.34,UNHEALTHY,2026-07-13T10:17:26Z
PKS_PEW_RES_02,Peshawar,residential,53.06,69.95,627.0,40.67,57.3,7.26,144.24,UNHEALTHY,2026-07-13T10:17:26Z
PKS_MUL_TRF_01,Multan,traffic,227.48,358.06,1136.42,45.0,36.91,17.43,277.29,HAZARDOUS,2026-07-13T10:17:26Z
PKS_MUL_PRK_02,Multan,park,20.12,31.26,591.38,36.04,87.15,14.12,67.87,MODERATE,2026-07-13T10:17:26Z
PKS_KHI_IND_01,Karachi,industrial,359.31,561.39,1174.72,45.0,42.39,29.7,387.65,HAZARDOUS,2026-07-13T10:17:37Z
PKS_KHI_TRF_02,Karachi,traffic,86.66,135.08,709.97,39.32,39.0,24.79,167.09,UNHEALTHY,2026-07-13T10:17:37Z
PKS_LHR_RES_01,Lahore,residential,63.45,88.56,566.47,37.47,90.0,12.59,155.1,UNHEALTHY,2026-07-13T10:17:37Z
PKS_LHR_IND_02,Lahore,industrial,136.0,198.3,893.0,45.0,11.42,9.08,192.56,UNHEALTHY,2026-07-13T10:17:37Z
PKS_ISB_PRK_01,Islamabad,park,24.07,36.09,468.67,39.44,59.07,20.09,76.17,MODERATE,2026-07-13T10:17:37Z
PKS_ISB_TRF_02,Islamabad,traffic,98.34,137.67,765.48,40.08,70.27,14.63,173.12,UNHEALTHY,2026-07-13T10:17:37Z
PKS_PEW_IND_01,Peshawar,industrial,124.12,190.33,907.07,42.5,50.12,6.67,186.43,UNHEALTHY,2026-07-13T10:17:37Z
PKS_PEW_RES_02,Peshawar,residential,30.7,47.27,506.75,28.72,54.31,20.45,90.12,MODERATE,2026-07-13T10:17:37Z
PKS_MUL_TRF_01,Multan,traffic,263.93,369.99,986.02,44.71,60.75,18.67,311.69,HAZARDOUS,2026-07-13T10:17:37Z
PKS_MUL_PRK_02,Multan,park,11.84,18.35,595.19,40.89,63.02,8.16,49.33,GOOD,2026-07-13T10:17:37Z
PKS_KHI_IND_01,Karachi,industrial,129.82,166.73,1073.59,45.0,33.78,18.36,189.37,UNHEALTHY,2026-07-13T10:17:48Z
PKS_KHI_TRF_02,Karachi,traffic,106.93,135.78,764.26,35.79,66.17,16.48,177.56,UNHEALTHY,2026-07-13T10:17:48Z
PKS_LHR_RES_01,Lahore,residential,63.52,77.57,491.76,39.08,90.0,12.36,155.14,UNHEALTHY,2026-07-13T10:17:48Z
PKS_LHR_IND_02,Lahore,industrial,117.46,151.74,1208.21,45.0,50.74,29.93,182.99,UNHEALTHY,2026-07-13T10:17:48Z
PKS_ISB_PRK_01,Islamabad,park,19.24,26.09,547.26,45.0,90.0,3.61,66.02,MODERATE,2026-07-13T10:17:48Z
PKS_ISB_TRF_02,Islamabad,traffic,101.18,132.28,730.74,45.0,57.28,24.45,174.59,UNHEALTHY,2026-07-13T10:17:48Z
PKS_PEW_IND_01,Peshawar,industrial,117.24,182.64,856.98,39.21,20.62,8.95,182.88,UNHEALTHY,2026-07-13T10:17:48Z
PKS_PEW_RES_02,Peshawar,residential,49.6,65.02,661.74,34.8,90.0,14.23,135.72,UNHEALTHY,2026-07-13T10:17:48Z
PKS_MUL_TRF_01,Multan,traffic,97.11,129.23,820.17,45.0,58.11,29.36,172.48,UNHEALTHY,2026-07-13T10:17:48Z
PKS_MUL_PRK_02,Multan,park,22.55,31.9,610.21,32.37,88.96,18.11,72.98,MODERATE,2026-07-13T10:17:48Z
PKS_KHI_IND_01,Karachi,industrial,152.95,188.29,904.28,45.0,43.27,24.22,203.43,HAZARDOUS,2026-07-13T10:17:59Z
PKS_KHI_TRF_02,Karachi,traffic,89.7,127.42,611.86,45.0,55.84,35.19,168.66,UNHEALTHY,2026-07-13T10:17:59Z
PKS_LHR_RES_01,Lahore,residential,85.76,110.58,704.58,32.37,57.05,16.51,166.62,UNHEALTHY,2026-07-13T10:17:59Z
PKS_LHR_IND_02,Lahore,industrial,145.99,227.72,800.78,41.43,53.84,17.22,197.72,UNHEALTHY,2026-07-13T10:17:59Z
PKS_ISB_PRK_01,Islamabad,park,20.2,28.43,461.75,34.0,74.73,14.64,68.03,MODERATE,2026-07-13T10:17:59Z
PKS_ISB_TRF_02,Islamabad,traffic,72.72,93.22,931.77,35.66,59.11,26.48,159.89,UNHEALTHY,2026-07-13T10:17:59Z
PKS_PEW_IND_01,Peshawar,industrial,273.83,404.74,1488.79,45.0,18.59,10.35,319.58,HAZARDOUS,2026-07-13T10:17:59Z
PKS_PEW_RES_02,Peshawar,residential,66.73,97.63,587.94,41.59,51.01,12.75,156.8,UNHEALTHY,2026-07-13T10:17:59Z
PKS_MUL_TRF_01,Multan,traffic,88.58,117.48,722.62,34.57,67.55,43.64,168.08,UNHEALTHY,2026-07-13T10:17:59Z
PKS_MUL_PRK_02,Multan,park,15.12,19.65,602.82,36.4,90.0,9.34,57.35,MODERATE,2026-07-13T10:17:59Z
PKS_KHI_IND_01,Karachi,industrial,129.55,194.52,963.24,43.23,21.28,16.27,189.23,UNHEALTHY,2026-07-13T10:18:10Z
PKS_KHI_TRF_02,Karachi,traffic,346.24,550.97,1253.31,45.0,44.43,28.23,377.24,HAZARDOUS,2026-07-13T10:18:10Z
PKS_LHR_RES_01,Lahore,residential,54.04,81.13,544.81,35.01,68.31,14.07,146.65,UNHEALTHY,2026-07-13T10:18:10Z
PKS_LHR_IND_02,Lahore,industrial,101.29,144.74,932.83,39.16,51.41,19.18,174.64,UNHEALTHY,2026-07-13T10:18:10Z
PKS_ISB_PRK_01,Islamabad,park,18.79,25.68,619.7,41.49,90.0,17.03,65.07,MODERATE,2026-07-13T10:18:10Z
PKS_ISB_TRF_02,Islamabad,traffic,73.94,113.4,758.75,37.9,67.32,18.88,160.52,UNHEALTHY,2026-07-13T10:18:10Z
PKS_PEW_IND_01,Peshawar,industrial,144.72,178.45,714.09,45.0,65.1,30.36,197.07,UNHEALTHY,2026-07-13T10:18:10Z
PKS_PEW_RES_02,Peshawar,residential,67.25,99.26,502.59,40.73,35.75,6.16,157.07,UNHEALTHY,2026-07-13T10:18:10Z
PKS_MUL_TRF_01,Multan,traffic,95.31,123.2,716.08,37.83,69.71,30.45,171.56,UNHEALTHY,2026-07-13T10:18:10Z
PKS_MUL_PRK_02,Multan,park,12.54,16.38,474.99,26.76,90.0,20.14,51.93,MODERATE,2026-07-13T10:18:10Z
PKS_KHI_IND_01,Karachi,industrial,101.98,148.0,803.79,45.0,14.87,8.58,175.0,UNHEALTHY,2026-07-13T10:18:21Z
PKS_KHI_TRF_02,Karachi,traffic,91.34,134.74,661.32,45.0,48.2,37.03,169.51,UNHEALTHY,2026-07-13T10:18:21Z
PKS_LHR_RES_01,Lahore,residential,54.32,65.73,592.94,38.64,75.45,13.35,147.34,UNHEALTHY,2026-07-13T10:18:21Z
PKS_LHR_IND_02,Lahore,industrial,463.44,600.0,1116.86,45.0,19.01,11.82,470.57,HAZARDOUS,2026-07-13T10:18:21Z
PKS_ISB_PRK_01,Islamabad,park,18.64,29.18,531.43,42.0,90.0,16.32,64.75,MODERATE,2026-07-13T10:18:21Z
PKS_ISB_TRF_02,Islamabad,traffic,90.75,123.95,935.68,43.15,31.51,11.34,169.2,UNHEALTHY,2026-07-13T10:18:21Z
PKS_PEW_IND_01,Peshawar,industrial,149.63,225.2,1166.62,44.37,42.1,8.72,199.6,UNHEALTHY,2026-07-13T10:18:21Z
PKS_PEW_RES_02,Peshawar,residential,56.23,68.73,526.2,45.0,68.17,7.32,151.38,UNHEALTHY,2026-07-13T10:18:21Z
PKS_MUL_TRF_01,Multan,traffic,197.02,295.76,780.85,36.33,56.52,35.75,247.1,HAZARDOUS,2026-07-13T10:18:21Z
PKS_MUL_PRK_02,Multan,park,20.96,31.89,564.01,32.43,81.38,13.96,69.63,MODERATE,2026-07-13T10:18:21Z
PKS_KHI_IND_01,Karachi,industrial,381.57,563.11,1233.08,45.0,47.69,18.16,405.37,HAZARDOUS,2026-07-13T10:18:33Z
PKS_KHI_TRF_02,Karachi,traffic,284.22,380.58,935.25,39.76,52.39,17.19,327.85,HAZARDOUS,2026-07-13T10:18:33Z
PKS_LHR_RES_01,Lahore,residential,42.69,64.11,603.13,36.81,76.46,18.95,118.7,UNHEALTHY,2026-07-13T10:18:33Z
PKS_LHR_IND_02,Lahore,industrial,158.9,234.01,878.84,41.42,39.61,21.44,209.32,HAZARDOUS,2026-07-13T10:18:33Z
PKS_ISB_PRK_01,Islamabad,park,24.09,34.27,540.66,28.57,74.16,16.05,76.22,MODERATE,2026-07-13T10:18:33Z
PKS_ISB_TRF_02,Islamabad,traffic,229.45,288.39,770.41,31.59,76.51,22.34,279.24,HAZARDOUS,2026-07-13T10:18:33Z
PKS_PEW_IND_01,Peshawar,industrial,140.86,218.68,899.0,45.0,47.13,15.3,195.07,UNHEALTHY,2026-07-13T10:18:33Z
PKS_PEW_RES_02,Peshawar,residential,64.19,99.57,567.26,45.0,39.77,23.45,155.49,UNHEALTHY,2026-07-13T10:18:33Z
PKS_MUL_TRF_01,Multan,traffic,88.41,131.32,763.81,36.93,33.21,12.17,167.99,UNHEALTHY,2026-07-13T10:18:33Z
PKS_MUL_PRK_02,Multan,park,94.92,114.54,650.51,40.01,62.63,13.27,171.35,UNHEALTHY,2026-07-13T10:18:33Z
PKS_KHI_IND_01,Karachi,industrial,167.02,264.69,1196.94,35.15,48.81,32.14,217.37,HAZARDOUS,2026-07-13T10:18:44Z
PKS_KHI_TRF_02,Karachi,traffic,90.96,133.3,785.23,44.81,61.31,19.71,169.31,UNHEALTHY,2026-07-13T10:18:44Z
PKS_LHR_RES_01,Lahore,residential,46.05,57.71,568.79,45.0,45.5,14.26,126.98,UNHEALTHY,2026-07-13T10:18:44Z
PKS_LHR_IND_02,Lahore,industrial,127.77,157.49,976.47,45.0,37.91,20.81,188.32,UNHEALTHY,2026-07-13T10:18:44Z
PKS_ISB_PRK_01,Islamabad,park,17.87,27.24,508.01,38.07,90.0,14.91,63.13,MODERATE,2026-07-13T10:18:44Z
PKS_ISB_TRF_02,Islamabad,traffic,89.27,111.89,833.57,42.02,44.59,23.32,168.44,UNHEALTHY,2026-07-13T10:18:44Z
PKS_PEW_IND_01,Peshawar,industrial,131.65,199.95,1233.54,45.0,15.52,10.63,190.32,UNHEALTHY,2026-07-13T10:18:44Z
PKS_PEW_RES_02,Peshawar,residential,41.05,57.08,486.44,43.06,47.87,9.18,114.67,UNHEALTHY,2026-07-13T10:18:44Z
